F-Size	f-Income
5	22015.0
4	16713.0
4	6848.0
3	24226.0
2	40474.0
7	21848.0
2	27027.0
1	13813.0
3	5764.0
4	5260.0
2	15037.0
3	9842.0
4	8375.0
4	12826.0
2	18009.0
2	6398.0
6	10573.0
2	28172.0
5	7728.0
3	20451.0
1	10385.0
2	17391.0
3	22918.0
1	19178.0
2	20859.0
5	7439.0
3	23106.0
1	8639.0
3	15071.0
2	15061.0
4	16871.0
3	15666.0
4	8677.0
5	6736.0
2	20478.0
3	14525.0
3	23522.0
6	12942.0
2	6552.0
2	21462.0
3	10997.0
2	15705.0
3	9573.0
3	30132.0
4	8536.0
5	11179.0
2	13966.0
3	7663.0
4	15615.0
2	29647.0
5	10355.0
3	16128.0
5	3344.0
4	12980.0
3	11317.0
8	8788.0
4	22736.0
4	11242.0
3	12111.0
3	10959.0
2	5073.0
4	7512.0
1	21408.0
2	4605.0
2	9020.0
4	10836.0
4	31667.0
3	19442.0
3	10015.0
4	25421.0
3	9138.0
2	21928.0
7	6706.0
2	22643.0
3	10802.0
5	7911.0
5	11873.0
4	15205.0
1	10333.0
2	17462.0
3	9887.0
3	18052.0
2	16513.0
1	12838.0
1	10613.0
2	14278.0
4	17430.0
4	37131.0
2	21177.0
3	21568.0
1	62063.0
3	17133.0
2	16867.0
2	18824.0
8	7989.0
5	10599.0
3	10274.0
3	18300.0
3	12131.0
3	14183.0
5	22805.0
6	20384.0
4	12207.0
2	9466.0
1	23357.0
2	19494.0
4	5925.0
5	11316.0
2	14378.0
3	19542.0
5	20868.0
4	15255.0
2	17738.0
5	13667.0
4	9447.0
2	11614.0
3	13362.0
6	13008.0
5	5153.0
3	10848.0
3	13613.0
4	11497.0
4	11698.0
3	16895.0
3	7714.0
4	5861.0
2	11119.0
2	19398.0
4	30791.0
1	19574.0
1	6349.0
1	11783.0
4	15049.0
1	14465.0
6	17335.0
2	8365.0
5	13672.0
3	16333.0
4	20005.0
2	8844.0
4	11136.0
3	3422.0
4	9698.0
5	10181.0
3	7947.0
3	14379.0
2	12870.0
3	4274.0
4	14742.0
3	8318.0
3	16876.0
5	6969.0
4	13435.0
4	11487.0
6	15403.0
3	14087.0
1	11649.0
2	6136.0
2	6321.0
2	9882.0
2	13181.0
4	9763.0
2	18096.0
5	11510.0
5	8167.0
3	11516.0
4	14819.0
4	15571.0
2	33875.0
4	9471.0
3	12758.0
2	16380.0
4	13081.0
4	10303.0
3	6097.0
3	10250.0
7	7734.0
4	5579.0
2	8889.0
4	7838.0
2	17725.0
4	17879.0
1	8420.0
5	11620.0
8	5223.0
7	10335.0
4	16160.0
1	19998.0
6	9264.0
2	22402.0
5	6200.0
